degree,specialization,academic_score,marks_10th,marks_12th,skills,experience_years,role
M.Tech,Computer Science,9.0,61.3,73.9,"NLP, Data Analysis, Machine Learning, Python, NumPy",2,Data Scientist
MBA,Civil Engineering,7.91,83.2,75.2,"MS Project, Contract Management, Primavera P6, Cost Estimation, Project Management",13,Construction Manager
Diploma,Mechanical,9.09,61.1,69.1,"SolidWorks, CAD/CAM, Manufacturing, AutoCAD, Ansys, Thermodynamics",3,Mechanical Engineer
BBA,Business Administration,8.54,61.0,76.3,"Talent Acquisition, Employee Relations, Onboarding, Recruiting, Communication",2,HR Manager
BBA,Business Administration,6.89,83.8,80.3,"Employee Relations, Talent Acquisition, Onboarding",6,HR Manager
B.Com,Business Administration,6.03,83.5,67.7,"SQL, Excel, Market Research, Power BI",1,Business Analyst
M.Sc,Data Science,7.71,80.9,91.4,"TensorFlow, SQL, Scikit-Learn, Pandas, Python, NumPy, Statistics",11,Data Scientist
M.Tech,Electronics,9.21,75.5,64.6,"Jenkins, Kubernetes, CI/CD",8,DevOps Engineer
BBA,Finance,6.14,90.7,84.1,"Tableau, Process Improvement, Excel, Market Research, SQL",11,Business Analyst
B.Tech,Computer Science,8.71,62.8,67.7,"Docker, Java, SQL",3,Backend Developer
BA,Maths,6.08,86.3,71.1,"Curriculum Development, Lesson Planning, Public Speaking, Communication",11,Teaching Professional
BA,Economics,7.68,88.8,68.8,"Econometrics, SAS, Economic Research, Stata, Statistics, R",4,Economist
Diploma,Mechanical Engineering,6.16,70.3,98.0,"Ansys, Thermodynamics, Manufacturing, AutoCAD, SolidWorks, CAD/CAM",9,Mechanical Engineer
B.Sc,Economics,9.06,97.8,94.7,"Data Analysis, Excel, Report Writing, SPSS, Market Research, Research",6,Research Analyst
B.Tech,Information Technology,7.1,96.3,62.3,"Next.js, HTML, CSS, Vue, JavaScript, TypeScript",11,Frontend Developer
MCA,Computer Science,8.65,87.7,92.2,"Python, C#, Data Structures, Rust, Algorithms, Java, Go",4,Software Engineer
BCA,Computer Science,6.25,84.3,73.8,"CSS, Next.js, Angular, Vue, React",5,Frontend Developer
B.Tech,Statistics,8.1,88.7,68.3,"Python, Tableau, Power BI, Statistics",5,Data Analyst
