degree,specialization,academic_score,marks_10th,marks_12th,skills,experience_years,role
BBA,Business Administration,8.24,66.0,68.1,"Power BI, Tableau, Market Research, Data Visualization, Process Improvement, SQL",3,Business Analyst
BA,Human Resources,9.08,65.2,91.6,"Employee Relations, Talent Acquisition, Recruiting, Communication, Onboarding",11,HR Manager
M.Tech,Information Technology,7.44,76.8,76.4,"SQL, REST APIs, Node.js, PostgreSQL",13,Backend Developer
M.Sc,Computer Science,7.11,85.7,94.2,"Deep Learning, Machine Learning, TensorFlow",5,Data Scientist
B.Com,Accounting,9.74,93.2,93.6,"Auditing, Tally, GST",6,Accountant
MCA,Electronics,7.01,95.9,86.4,"Docker, Kubernetes, Terraform, Jenkins, Linux",11,DevOps Engineer
B.Tech,Finance,9.76,86.1,83.4,"Agile, Market Research, Jira, Scrum",10,Product Manager
B.Tech,Computer Science,6.25,95.1,83.7,"Angular, TypeScript, JavaScript",11,Frontend Developer
BCA,Design,8.83,82.8,89.7,"TypeScript, Tailwind, CSS, JavaScript, Next.js, Vue",6,Frontend Developer
M.Com,Finance,8.87,93.4,70.0,"Tally, Finance, Advanced Excel, Accounting",2,Accountant
MBA,Information Technology,8.01,97.0,93.4,"SQL, Process Improvement, Market Research",11,Business Analyst
MCA,AI,6.01,88.8,88.7,"C++, Algorithms, System Design, Rust, Python",13,Software Engineer
B.Tech,Business Administration,8.05,90.7,82.5,"Scrum, Jira, Product Strategy, Agile, Roadmapping, Market Research, Stakeholder Management",0,Product Manager
M.Com,Finance,6.91,72.9,83.7,"Accounting, GST, Finance",1,Accountant
M.Tech,Computer Science,9.66,95.7,89.9,"C#, Rust, Git, Algorithms, C++, Go, Python",4,Software Engineer
MCA,Electronics,6.24,65.7,83.3,"Kubernetes, CI/CD, Linux, Terraform, AWS, Jenkins, Docker",4,DevOps Engineer
B.Tech,Computer Science,7.06,81.0,82.8,"Python, SQL, Machine Learning, NLP, Deep Learning, Data Analysis, Statistics, TensorFlow",11,Data Scientist
MBA,Finance,6.37,79.2,79.0,"Advanced Excel, Auditing, Tally, Accounting",14,Accountant
B.Tech,Data Science,7.7,78.9,74.2,"Scikit-Learn, Machine Learning, SQL, TensorFlow, NumPy, Pandas",3,Data Scientist
M.Tech,AI,9.68,95.6,93.0,"Java, Go, Rust",7,Software Engineer
B.Com,Marketing,9.52,90.9,74.4,"SEO, Content Strategy, Google Analytics, Copywriting, Social Media, Digital Marketing",11,Marketing Specialist
BA,Business Administration,8.2,82.9,89.7,"Employee Relations, Onboarding, Recruiting, Talent Acquisition",0,HR Manager
PhD,Artificial Intelligence,8.26,87.3,72.8,"TensorFlow, Data Analysis, Python, Machine Learning, Deep Learning, Statistics, NLP",1,Data Scientist
B.Com,Accounting,6.91,78.1,87.2,"Accounting, Advanced Excel, GST, Tally, Auditing, Finance",4,Accountant
BA,Marketing,6.28,72.0,73.8,"Google Analytics, Social Media, SEO",5,Marketing Specialist
BCA,Information Technology,8.01,87.0,83.3,"C#, Git, Algorithms, Go, Data Structures",10,Software Engineer
BCA,Information Technology,7.03,85.0,88.7,"C++, Go, C#",3,Software Engineer
B.Tech,Finance,6.17,76.0,69.3,"SQL, Power BI, Data Visualization, Process Improvement, Tableau, Market Research",4,Business Analyst
B.Tech,Marketing,8.07,92.5,84.2,"Jira, Market Research, Product Strategy, Roadmapping, Stakeholder Management, Scrum, Agile",2,Product Manager
MCA,Computer Science,6.95,68.4,90.7,"REST APIs, Python, FastAPI, SQL, PostgreSQL",10,Backend Developer
MBA,Business Administration,8.97,78.6,87.1,"Market Research, Roadmapping, Agile, Scrum",13,Product Manager
B.Tech,Design,7.33,92.1,93.8,"Figma, Prototyping, Design Systems, Adobe XD, User Testing, Wireframing, UI/UX",3,UX Designer
M.Tech,Artificial Intelligence,7.94,87.4,92.8,"Pandas, Machine Learning, NLP, Scikit-Learn, Statistics",1,Data Scientist
MCA,Computer Science,7.66,97.5,68.8,"Algorithms, Java, C++, Rust, Python, C#, System Design",4,Software Engineer
B.Tech,Electronics,6.27,86.9,75.9,"AWS, Linux, Terraform, Docker, CI/CD, Kubernetes",5,DevOps Engineer
BBA,Information Technology,8.65,83.3,71.3,"Market Research, Power BI, SQL, Tableau, Process Improvement",10,Business Analyst
MCA,Information Technology,8.99,85.0,75.6,"PostgreSQL, Python, MongoDB, FastAPI, Node.js, SQL",8,Backend Developer
BBA,Information Technology,9.11,89.8,87.2,"Process Improvement, Tableau, Data Visualization, Market Research, Power BI, SQL",3,Business Analyst
BA,Design,9.23,67.4,78.7,"UI/UX, Prototyping, User Testing",10,UX Designer
B.Com,Finance,8.96,72.2,91.5,"Advanced Excel, Tally, Finance, GST, Accounting, Auditing",11,Accountant
BBA,Human Resources,8.54,97.6,84.6,"Employee Relations, Recruiting, Communication, Talent Acquisition, Onboarding",12,HR Manager
B.Com,Communications,8.91,82.2,85.7,"Content Strategy, Google Analytics, Social Media, Copywriting, SEO, Digital Marketing",4,Marketing Specialist
MBA,Communications,6.53,72.6,87.9,"Content Strategy, Digital Marketing, Social Media, Copywriting, SEO",4,Marketing Specialist
M.Tech,Information Technology,9.16,77.9,90.4,"Go, Git, System Design, Java, C++",1,Software Engineer
M.Com,Finance,9.24,96.5,78.8,"GST, Auditing, Advanced Excel",11,Accountant
BA,Human Resources,7.48,87.1,91.3,"Employee Relations, Onboarding, Communication, Talent Acquisition, Recruiting",11,HR Manager
